Journal title,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
"American Journal of Physiology - Cell Physiology","Am J Physiol Cell Physiol","0363-6143","1522-1563","American Physiological Society","100901225","v.312(4);Apr 1, 2017","v.294;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Physiol+Cell+Physiol%22%5Bjournal%5D
"American Journal of Physiology - Endocrinology and Metabolism","Am J Physiol Endocrinol Metab","0193-1849","1522-1555","American Physiological Society","100901226","v.312(4);Apr 1, 2017","v.294;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Physiol+Endocrinol+Metab%22%5Bjournal%5D
"American Journal of Physiology - Gastrointestinal and Liver Physiology","Am J Physiol Gastrointest Liver Physiol","0193-1857","1522-1547","American Physiological Society","100901227","v.312(4);Apr 1, 2017","v.294;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Physiol+Gastrointest+Liver+Physiol%22%5Bjournal%5D
"American Journal of Physiology - Heart and Circulatory Physiology","Am J Physiol Heart Circ Physiol","0363-6135","1522-1539","American Physiological Society","100901228","v.312(4);Apr 1, 2017","v.292;2007","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Physiol+Heart+Circ+Physiol%22%5Bjournal%5D
"American Journal of Physiology - Lung Cellular and Molecular Physiology","Am J Physiol Lung Cell Mol Physiol","1040-0605","1522-1504","American Physiological Society","100901229","v.312(4);Apr 1, 2017","v.294;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Physiol+Lung+Cell+Mol+Physiol%22%5Bjournal%5D
"American Journal of Physiology - Regulatory, Integrative and Comparative Physiology","Am J Physiol Regul Integr Comp Physiol","0363-6119","1522-1490","American Physiological Society","100901230","v.312(4);Apr 1, 2017","v.292;2007","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Physiol+Regul+Integr+Comp+Physiol%22%5Bjournal%5D
"American Journal of Physiology - Renal Physiology","Am J Physiol Renal Physiol","1931-857X","1522-1466","American Physiological Society","100901990","v.312(4);Apr 1, 2017","v.294;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Physiol+Renal+Physiol%22%5Bjournal%5D
"American Journal of Public Health","Am J Public Health","0090-0036","1541-0048","American Public Health Association","1254074","v.107(6);Jun 2017","v.61;1971","24 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/258/
"American Journal of Public Health (New York, N.Y. : 1912)","Am J Public Health (N Y)","0271-4353","","American Public Health Association","9716256","v.17(12);Dec 1927","v.2;1912","Immediate","No"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/260/
"American Journal of Public Health and the Nation's Health","Am J Public Health Nations Health","0002-9572","2330-9679","American Public Health Association","1254075","v.60(12);Dec 1970","v.18;1928","Immediate","No"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/259/
"American Journal of Public Hygiene","Am J Public Hygiene","","","American Public Health Association","14830060R","v.20(4);Nov 1910","v.15;1905","Immediate","No"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/489/
"American Journal of Respiratory Cell and Molecular Biology","Am J Respir Cell Mol Biol","1044-1549","1535-4989","American Thoracic Society","8917225","v.56(5);May 2017","v.32;2005","12 months","No"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Respir+Cell+Mol+Biol%22%5Bjournal%5D
"American Journal of Respiratory and Critical Care Medicine","Am J Respir Crit Care Med","1073-449X","1535-4970","American Thoracic Society","9421642","v.195(10);May 15, 2017","v.171;2005","12 months","No"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Respir+Crit+Care+Med%22%5Bjournal%5D
"American Journal of Rhinology &#x0026; Allergy","Am J Rhinol Allergy","1945-8924","1945-8932","OceanSide Publications","101490775","v.30(6);Nov-Dec 2016","v.25;2011","Immediate","All"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Rhinol+Allergy%22%5Bjournal%5D
"American Journal of Speech-Language Pathology","Am J Speech Lang Pathol","1058-0360","1558-9110","American Speech-Language-Hearing Association","9114726","v.25(4);Nov 2016","v.24;2015","6 months","No"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Speech+Lang+Pathol%22%5Bjournal%5D
"American Journal of Stem Cells","Am J Stem Cells","","2160-4150","e-Century Publishing Corporation","101578936","v.6(1);2017","v.1;2012","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2063/
"American Journal of Translational Research","Am J Transl Res","","1943-8141","e-Century Publishing Corporation","101493030","v.9(5);2017","v.1;2009","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/990/
"The American Journal of Tropical Medicine and Hygiene","Am J Trop Med Hyg","0002-9637","1476-1645","The American Society of Tropical Medicine and Hygiene","0370507","v.96(5);May 3, 2017","v.52;1995","12 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/960/
"AMB Express","AMB Express","","2191-0855","Springer-Verlag","101561785","v.7;2017","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1591/
"Ambio","Ambio","0044-7447","1654-7209","Springer","0364220","v.46(4);May 2017","v.39;2010","12 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1790/
"AMIA Annual Symposium Proceedings","AMIA Annu Symp Proc","","1942-597X","American Medical Informatics Association","101209213","v.2016;2016","v.2003;2003","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/362/
"AMIA Summits on Translational Science Proceedings","AMIA Jt Summits Transl Sci Proc","","2153-4063","American Medical Informatics Association","101539486","v.2016;2016","v.2011;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1347/
"Amphibian &#x0026; Reptile Conservation","Amphib Reptile Conserv","1083-446X","1525-9153","Amphibian and Reptile Conservation","101194519","v.3(1);Jan 2004","v.3;2004","","All"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/218/
"Anais Brasileiros de Dermatologia","An Bras Dermatol","0365-0596","1806-4841","Sociedade Brasileira de Dermatologia","0067662","v.92(2);Mar-Apr 2017","v.87;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2132/
"Analytical Cellular Pathology : the Journal of the European Society for Analytical Cellular Pathology","Anal Cell Pathol","0921-8912","1878-3651","Hindawi Publishing Corporation","8911016","v.25(5-6);2003","v.13;1997","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/2834/
"Analytical Cellular Pathology (Amsterdam)","Anal Cell Pathol (Amst)","2210-7177","2210-7185","Hindawi Publishing Corporation","101541993","v.2017;2017","v.33;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2671/
"Analytical Chemistry Insights","Anal Chem Insights","","1177-3901","SAGE Publications","101463741","v.12;2017","v.1;2006","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/925/
"The Analysis of Verbal Behavior","Anal Verbal Behav","0889-9401","2196-8926","Association for Behavior Analysis International","101319170","v.32(1);Jun 2016","v.3;1985","6 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/609/
"Anatomy &#x0026; Cell Biology","Anat Cell Biol","2093-3665","2093-3673","Korean Association of Anatomists","101531987","v.50(1);Mar 2017","v.43;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1411/
"Anatomy Research International","Anat Res Int","2090-2743","2090-2751","Hindawi Publishing Corporation","101571232","v.2017;2017","v.2011;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1770/
"Ancient Science of Life","Anc Sci Life","0257-7941","2249-9547","Medknow Publications","8307589","v.36(2);Oct-Dec 2016","v.1;1981","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1769/
"Anemia","Anemia","2090-1267","2090-1275","Hindawi Publishing Corporation","101536021","v.2017;2017","v.2010;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1488/
"Anesthesia, Essays and Researches","Anesth Essays Res","0259-1162","2229-7685","Medknow Publications","101578762","v.11(1);Jan-Mar 2017","v.4;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2255/
"Anesthesiology and Pain Medicine","Anesth Pain Med","2228-7523","2228-7531","Kowsar Medical Institute","101585412","v.6(5);Oct 2016","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2237/
"Anesthesia Progress","Anesth Prog","0003-3006","1878-7177","American Dental Society of Anesthesiology","0043533","v.64(1);Spring 2017","v.13;1966","6 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/374/
"Anesthesiology Research and Practice","Anesthesiol Res Pract","1687-6962","1687-6970","Hindawi Publishing Corporation","101532982","v.2017;2017","v.2008;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1292/
"Animals : an Open Access Journal from MDPI","Animals (Basel)","","2076-2615","Multidisciplinary Digital Publishing Institute  (MDPI)","101635614","v.7(5);May 2017","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2763/
"Annals of Advances in Automotive Medicine / Annual Scientific Conference","Ann Adv Automot Med","1943-2461","","Association for the Advancement of Automotive Medicine","101528485","v.58;Mar 2014","v.52;2008","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1675/
"Annals of the American Thoracic Society","Ann Am Thorac Soc","2329-6933","2325-6621","American Thoracic Society","101600811","v.14(1);Jan 2017","v.10;2013","12 months","No"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Ann+Am+Thorac+Soc%22%5Bjournal%5D
"Annals of Botany","Ann Bot","0305-7364","1095-8290","Oxford University Press","0372347","v.119(5);Mar 2017","v.75;1995","12 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/442/
"Annals of Burns and Fire Disasters","Ann Burns Fire Disasters","1592-9558","1592-9566","Euro-Mediterranean Council for Burns and Fire Disasters (MBC)","101251186","v.29(4);Dec 31, 2016","v.18;2005","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1231/
"Annals of Cardiac Anaesthesia","Ann Card Anaesth","0971-9784","0974-5181","Medknow Publications","9815987","v.20(2);Apr-Jun 2017","v.18;2015","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2918/
"Annals of Cardiothoracic Surgery","Ann Cardiothorac Surg","2225-319X","2304-1021","AME Publications","101605877","v.6(2);Mar 2017","v.1;2012","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2130/
"Annals of Clinical Microbiology and Antimicrobials","Ann Clin Microbiol Antimicrob","","1476-0711","BioMed Central","101152152","v.16;2017","v.1;2002","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/121/
"Annals of Clinical and Translational Neurology","Ann Clin Transl Neurol","","2328-9503","Wiley-Blackwell","101623278","v.4(5);May 2017","v.1;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2565/
"Annals of Coloproctology","Ann Coloproctol","2287-9714","2287-9722","Korean Society of Coloproctology","101605121","v.33(2);Apr 2017","v.29;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2062/
"Annals of Dermatology","Ann Dermatol","1013-9087","2005-3894","Korean Dermatological Association and Korean Society for Investigative Dermatology","8916577","v.29(3);Jun 2017","v.20;2008","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1223/
"Annals of the Entomological Society of America","Ann Entomol Soc Am","0013-8746","1938-2901","Oxford University Press","7503290","v.109(5);Sep 2016","v.108;2015","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Ann+Entomol+Soc+Am%22%5Bjournal%5D
"Annals of Family Medicine","Ann Fam Med","1544-1709","1544-1717","American Academy of Family Physicians","101167762","v.15(3);May 2017","v.1;2003","6 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/330/
"Annals of Gastroenterology","Ann Gastroenterol","1108-7471","1792-7463","The Hellenic Society of Gastroenterology","101121847","v.30(3);2017","v.24;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2375/
"Annals of General Hospital Psychiatry","Ann Gen Hosp Psychiatry","","1475-2832","BioMed Central","101147431","v.3;2004","v.1;2002","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/105/
"Annals of General Psychiatry","Ann Gen Psychiatry","","1744-859X","BioMed Central","101236515","v.16;2017","v.4;2005","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/312/
"Annales de G&#x000e9;n&#x000e9;tique et de S&#x000e9;lection Animale","Ann Genet Sel Anim","0003-4002","","BioMed Central","0257341","v.14(4);1982","v.1;1969","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/1009/
"Annals of Hepato-Biliary-Pancreatic Surgery","Ann Hepatobiliary Pancreat Surg","2508-5778","2508-5859","Korean Association of Hepato-Biliary-Pancreatic Surgery","101698342","v.21(2);May 2017","v.20;2016","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/3151/
"Annals of Ibadan Postgraduate Medicine","Ann Ib Postgrad Med","1597-1627","","Association of Resident Doctors, University College Hospital, Ibadan, Nigeria","101491784","v.14(2);Dec 2016","v.5;2007","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2486/
"Annals of Indian Academy of Neurology","Ann Indian Acad Neurol","0972-2327","1998-3549","Medknow Publications","101273955","v.20(1);Jan-Mar 2017","v.11;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/974/
"Annals of Intensive Care","Ann Intensive Care","","2110-5820","Springer-Verlag","101562873","v.7;2017","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1590/
"Annals of Laboratory Medicine","Ann Lab Med","2234-3806","2234-3814","Korean Society for Laboratory Medicine","101571172","v.37(4);Jul 2017","v.32;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1696/
"Annals of Maxillofacial Surgery","Ann Maxillofac Surg","2231-0746","2249-3816","Medknow Publications","101598423","v.6(2);Jul-Dec 2016","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2015/
"Annals of Medical and Health Sciences Research","Ann Med Health Sci Res","2141-9248","2277-9205","Medknow Publications","101585351","v.6(6);Nov-Dec 2016","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1927/
"Annals of Medicine and Surgery","Ann Med Surg (Lond)","","2049-0801","Elsevier","101616869","v.19;Jul 2017","v.1;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2638/
"Annales Nestl&#x000e9;","Ann Nestle Eng","0517-8606","","Karger Publishers","15010200R","v.68(2);Jun 2010","v.68;2010","","No"," NIH Portfolio "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Ann+Nestle+Eng%22%5Bjournal%5D
"Annals of Neurosciences","Ann Neurosci","0972-7531","0976-3260","Karger Publishers","101523367","v.23(4);Oct 2016","v.17;2010","12 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2424/
"Annals of Nutrition &#x0026; Metabolism","Ann Nutr Metab","0250-6807","1421-9697","Karger Publishers","8105511","v.65(3);Nov 2014","v.52;2008","","Some"," NIH Portfolio "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Ann+Nutr+Metab%22%5Bjournal%5D
"Annals of Occupational and Environmental Medicine","Ann Occup Environ Med","","2052-4374","BioMed Central","101609244","v.29;2017","v.25;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2291/
"Annals of Occupational Hygiene","Ann Occup Hyg","0003-4878","1475-3162","Oxford University Press","0203526","v.60(9);Nov 2016","v.52;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Ann+Occup+Hyg%22%5Bjournal%5D
"Annals of Oncology","Ann Oncol","0923-7534","1569-8041","Oxford University Press","9007735","v.28(5);May 2017","v.19;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Ann+Oncol%22%5Bjournal%5D
"Annals of Pediatric Cardiology","Ann Pediatr Cardiol","0974-2069","0974-5149","Medknow Publications","101495459","v.10(2);May-Aug 2017","v.1;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1190/
"Annals of Pediatric Endocrinology &#x0026; Metabolism","Ann Pediatr Endocrinol Metab","2287-1012","2287-1292","Korean Society of Pediatric Endocrinology","101588279","v.22(1);Mar 2017","v.18;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2434/
"Annals of The Royal College of Surgeons of England","Ann R Coll Surg Engl","0035-8843","1478-7083","The Royal College of Surgeons of England","7506860","v.99(2);Feb 2017","v.1;1947","12 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/386/
"Annals of Rehabilitation Medicine","Ann Rehabil Med","2234-0645","2234-0653","Korean Academy of Rehabilitation Medicine","101573065","v.41(2);Apr 2017","v.35;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1767/
"Annals of the Rheumatic Diseases","Ann Rheum Dis","0003-4967","1468-2060","BMJ Publishing Group","0372355","v.66(12);Dec 2007","v.1;1939","","No"," Full "," Now Select ",http://www.ncbi.nlm.nih.gov/pmc/journals/149/
"Annals of Saudi Medicine","Ann Saudi Med","0256-4947","0975-4466","Medknow Publications","8507355","v.31(6);Nov-Dec 2011","v.29;2009","","All"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/1108/
"Annali di Stomatologia","Ann Stomatol (Roma)","1824-0852","1971-1441","CIC Edizioni Internazionali","0404022","v.7(3);Jul-Sep 2016","v.1;2010","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1653/
